camera,person_a,person_b,timestamp,duration_seconds
ROOM,sarisht,satyabrata,2026-08-07 12:32:33,0.00
ROOM,Om,sarisht,2026-08-07 12:32:33,0.00
ROOM,Om,sarisht,2026-08-07 12:32:33,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:33,0.29
ROOM,sarisht,satyabrata,2026-08-07 12:32:33,0.18
ROOM,Om,sarisht,2026-08-07 12:32:33,0.00
ROOM,Om,Om,2026-08-07 12:32:31,1.98
ROOM,sarisht,shinjan,2026-08-07 12:32:33,0.10
ROOM,Om,sarisht,2026-08-07 12:32:34,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:29,3.42
ROOM,sarisht,shinjan,2026-08-07 12:32:34,0.00
ROOM,Om,Om,2026-08-07 12:32:34,0.00
ROOM,Om,sarisht,2026-08-07 12:32:41,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:41,0.00
ROOM,Om,sarisht,2026-08-07 12:32:41,0.00
ROOM,Om,sarisht,2026-08-07 12:32:41,0.00
ROOM,Om,sarisht,2026-08-07 12:32:42,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:40,0.26
ROOM,sarisht,shinjan,2026-08-07 12:32:45,0.14
ROOM,sarisht,shinjan,2026-08-07 12:32:45,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:45,0.60
ROOM,sarisht,shinjan,2026-08-07 12:32:46,0.18
ROOM,Om,shinjan,2026-08-07 12:32:46,0.18
ROOM,sarisht,shinjan,2026-08-07 12:32:46,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:47,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:47,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:47,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:47,0.00
ROOM,Om,shinjan,2026-08-07 12:32:47,0.27
ROOM,Om,satyabrata,2026-08-07 12:32:47,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:46,0.00
ROOM,satyabrata,Unknown-CAM1-110,2026-08-07 12:32:49,0.00
ROOM,shinjan,shrayan,2026-08-07 12:32:48,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:50,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:54,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:54,0.00
ROOM,sarisht,Unknown-CAM3-128,2026-08-07 12:32:54,0.00
ROOM,sarisht,sarisht,2026-08-07 12:32:54,0.00
ROOM,sarisht,Unknown-CAM2-135,2026-08-07 12:33:09,0.63
ROOM,satyabrata,Unknown-CAM4-139,2026-08-07 12:33:12,0.00
ROOM,shinjan,Unknown-CAM3-140,2026-08-07 12:33:11,0.00
ROOM,satyabrata,shinjan,2026-08-07 12:33:14,0.00
ROOM,Om,shinjan,2026-08-07 12:33:14,0.00
ROOM,Om,shinjan,2026-08-07 12:33:14,0.00
ROOM,sarisht,sarisht,2026-08-07 12:33:14,0.00
ROOM,sarisht,sarisht,2026-08-07 12:33:15,0.28
ROOM,Om,sarisht,2026-08-07 12:33:16,0.14
ROOM,sarisht,Om,2026-08-07 12:33:15,0.00
ROOM,sarisht,Om,2026-08-07 12:33:15,0.12
ROOM,Om,sarisht,2026-08-07 12:33:16,1.83
ROOM,Om,sarisht,2026-08-07 12:33:18,0.00
ROOM,Om,shinjan,2026-08-07 12:33:18,0.56
ROOM,Om,sarisht,2026-08-07 12:33:18,0.31
ROOM,Om,sarisht,2026-08-07 12:33:18,0.09
ROOM,Om,sarisht,2026-08-07 12:33:19,0.00
ROOM,Om,shinjan,2026-08-07 12:33:18,0.30
ROOM,sarisht,Unknown-CAM2-150,2026-08-07 12:33:18,0.34
ROOM,Om,sarisht,2026-08-07 12:33:19,0.12
ROOM,Om,sarisht,2026-08-07 12:33:19,0.00
ROOM,Om,sarisht,2026-08-07 12:33:19,0.36
ROOM,Om,shinjan,2026-08-07 12:33:19,0.00
ROOM,Om,sarisht,2026-08-07 12:33:20,0.09
ROOM,Om,sarisht,2026-08-07 12:33:20,0.39
ROOM,Om,sarisht,2026-08-07 12:33:20,0.09
ROOM,sarisht,Unknown-CAM2-150,2026-08-07 12:33:20,0.13
ROOM,shinjan,Unknown-CAM4-148,2026-08-07 12:33:18,2.47
ROOM,Om,sarisht,2026-08-07 12:33:20,0.37
ROOM,Om,Unknown-CAM4-148,2026-08-07 12:33:17,3.49
ROOM,Om,sarisht,2026-08-07 12:33:21,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:39:27,0.27
ROOM,sarisht,shrayan,2026-08-07 12:39:28,0.00
ROOM,satyabrata,Unknown-CAM3-1,2026-08-07 12:39:30,1.06
ROOM,satyabrata,Unknown-CAM4-44,2026-08-07 12:39:48,0.26
ROOM,satyabrata,Unknown-CAM4-44,2026-08-07 12:39:49,1.11
ROOM,satyabrata,satyabrata,2026-08-07 12:39:56,0.13
ROOM,sarisht,satyabrata,2026-08-07 12:39:56,1.66
ROOM,satyabrata,satyabrata,2026-08-07 12:39:57,0.71
ROOM,satyabrata,satyabrata,2026-08-07 12:39:59,0.12
ROOM,satyabrata,satyabrata,2026-08-07 12:39:59,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:39:59,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:39:59,0.00
ROOM,satyabrata,satyabrata,2026-08-07 12:40:04,0.00
ROOM,sarisht,sarisht,2026-08-07 12:46:38,0.00
ROOM,sarisht,sarisht,2026-08-07 12:46:54,0.00
ROOM,sarisht,sarisht,2026-08-07 12:46:54,0.00
ROOM,sarisht,Unknown-CAM2-29,2026-08-07 12:47:03,0.25
ROOM,satyabrata,shrayan,2026-08-07 12:47:30,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:30,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:31,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:33,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:33,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:33,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:33,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:34,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:34,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:34,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:34,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:35,0.00
ROOM,satyabrata,shrayan,2026-08-07 12:47:30,4.22
ROOM,sarisht,shinjan,2026-08-07 12:47:35,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:35,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:35,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:35,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:36,0.00
ROOM,sarisht,shinjan,2026-08-07 12:47:36,0.00
ROOM,satyabrata,shrayan,2026-08-07 12:47:35,0.87
ROOM,sarisht,shinjan,2026-08-07 12:47:36,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:52,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:52,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:52,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:52,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:53,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:53,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:53,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:53,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:53,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:54,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:54,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:54,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:54,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
ROOM,sarisht,Unknown-CAM2-42,2026-08-07 12:47:55,0.00
